username,date_of_birth,personal_rank,play_style,mic_style,common_traits,common_match_traits,schedule_overlap,personal_rank_diff,play_style_diff,mic_style_diff,age_diff,schedule_overlap_rank,age_diff_rank,traits_rank,match_traits_rank,person_rank_rank,play_style_rank,mic_style_rank
User2,1980-01-01,5,1,2,3,0,8,0,4,3,0,3,1,9,22,1,27,19
User3,1981-01-01,7,4,4,5,0,9,2,1,1,366,2,5,1,22,11,4,8
User4,1980-01-01,4,6,4,1,2,4,1,1,1,0,16,1,23,10,3,4,8
User5,1993-01-10,7,1,1,0,2,0,2,4,4,4758,27,26,28,10,11,27,26
User6,1986-01-05,1,6,5,5,1,0,4,1,0,2196,27,17,1,17,26,4,1
User7,1983-01-03,7,8,2,5,0,0,2,3,3,1098,27,9,1,22,11,22,19
User8,1980-01-01,3,6,1,3,1,8,2,1,4,0,3,1,9,17,11,4,26
User9,1990-01-08,6,3,6,3,3,1,1,2,1,3660,23,23,9,8,3,12,8
User10,1988-01-07,6,5,1,2,4,6,1,0,4,2928,12,19,19,1,3,1,26
User11,1989-01-07,8,7,1,3,1,10,3,2,4,3294,1,22,9,17,22,12,26
User12,1988-01-07,7,3,3,3,2,1,2,2,2,2928,23,19,9,10,11,12,13
User13,1985-01-04,6,8,5,2,0,4,1,3,0,1830,16,13,19,22,3,22,1
User14,1985-01-04,4,2,6,4,4,5,1,3,1,1830,14,13,7,1,3,22,8
User15,1990-01-08,1,4,5,0,4,7,4,1,0,3660,10,23,28,1,26,4,1
User16,1988-01-07,1,7,5,2,1,1,4,2,0,2928,23,19,19,17,26,12,1
User17,1981-01-01,4,1,1,1,4,8,1,4,4,366,3,5,23,1,3,27,26
User18,1986-01-05,2,8,3,3,0,8,3,3,2,2196,3,17,9,22,22,22,13
User19,1995-01-12,5,7,2,3,2,5,0,2,3,5490,14,30,9,10,1,12,19
User20,1994-01-11,4,7,5,1,0,6,1,2,0,5124,12,29,23,22,3,12,1
User21,1992-01-10,8,5,3,5,4,4,3,0,2,4392,16,25,1,1,22,1,13
User22,1985-01-04,7,7,8,1,0,7,2,2,3,1830,10,13,23,22,11,12,19
User23,1980-01-01,4,8,5,4,2,8,1,3,0,0,3,1,7,10,3,22,1
User24,1983-01-03,8,6,5,5,2,3,3,1,0,1098,19,9,1,10,22,4,1
User25,1985-01-04,3,7,2,3,1,1,2,2,3,1830,23,13,9,17,11,12,19
User26,1982-01-02,1,7,4,2,0,2,4,2,1,732,21,8,19,22,26,12,8
User27,1984-01-04,1,6,3,3,2,3,4,1,2,1464,19,12,9,10,26,4,13
User28,1993-01-10,7,7,2,3,0,8,2,2,3,4758,3,26,9,22,11,12,19
User29,1983-01-03,7,1,8,5,4,0,2,4,3,1098,27,9,1,1,11,27,19
User30,1981-01-01,7,5,7,0,3,2,2,0,2,366,21,5,28,8,11,1,13
User31,1993-01-10,3,4,7,1,4,8,2,1,2,4758,3,26,23,1,11,4,13
